#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
superheatedmoltensodium                           (immersivetech:fluidsuperheatedmoltensodium)                                     = Superheated Molten Sodium
chlorine                                          (immersivetech:fluidchlorine)                                                    = Chlorine
xpjuice                                           ([no block])                                                                     = Liquid XP
chocolate_liquor                                  (tcomplement:liquid_chocolate_liquor)                                            = Chocolate Liquor
milk_chocolate                                    (tcomplement:liquid_milk_chocolate)                                              = Milk Chocolate
dark_chocolate                                    (tcomplement:liquid_dark_chocolate)                                              = Dark Chocolate
ink                                               (immersiveintelligence:ink)                                                      = Ink
ink_cyan                                          (immersiveintelligence:ink_cyan)                                                 = Cyan Ink
ink_magenta                                       (immersiveintelligence:ink_magenta)                                              = Magenta Ink
ink_yellow                                        (immersiveintelligence:ink_yellow)                                               = Yellow Ink
etching_acid                                      (immersiveintelligence:etching_acid)                                             = Etching Acid
sulfuric_acid                                     (immersiveintelligence:sulfuric_acid)                                            = Sulfuric Acid
hydrofluoric_acid                                 (immersiveintelligence:hydrofluoric_acid)                                        = Hydrofluoric Acid
nitric_acid                                       (immersiveintelligence:nitric_acid)                                              = Nitric Acid
ammonia                                           (immersiveintelligence:ammonia)                                                  = Ammonia
methanol                                          (immersiveintelligence:methanol)                                                 = Methanol
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
blood                                             (tconstruct:blood)                                                               = Blood
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
lifeessence                                       (bloodmagic:life_essence)                                                        = Life Essence
refined_life_essence                              (bloodarsenal:refined_life_essence)                                              = Refined Life Essence
yellorium                                         (bigreactors:yellorium)                                                          = Fluid Yellorium
cyanite                                           (bigreactors:cyanite)                                                            = Fluid Cyanite
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
pure_metal                                        ([no block])                                                                     = Pure Metal
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
